Título,Idioma,Extensión,Colección,link_descarga,link_epub,image_url,enlace_drive_exp
"Manual del destilador, licorista y perfumista comprende un tratado teórico-práctico de destilación, la manera de fabricar toda clase de aguardiente ...",Español,Lectura sustanciosa,Ciencias puras,http://bdh-rd.bne.es/high.raw?id=0000118843&name=00000001.epub&attachment=Manual%20del%20destilador%2C%20licorista%20y%20perfumista%20comprende%20un%20tratado%20te%C3%B3rico-pr%C3%A1ctico%20de%20destilaci%C3%B3n%2C%20la%20manera%20de%20fabricar%20toda%20clase%20de%20aguardiente%20....epub,https://bdh-rd.bne.es/epub.vm?id=0000118843&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000118843&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1vVXQQdCYNEjC-79BYpkKDJGY2XCnN9J-
"Varones ilustres del Renacimiento biografías de los más insignes sabios, artistas y guerreros de aquel periodo",Español,Lectura sustanciosa,Biografías,http://bdh-rd.bne.es/high.raw?id=0000079812&name=00000001.epub&attachment=Varones%20ilustres%20del%20Renacimiento%20biograf%C3%ADas%20de%20los%20m%C3%A1s%20insignes%20sabios%2C%20artistas%20y%20guerreros%20de%20aquel%20periodo.epub,https://bdh-rd.bne.es/epub.vm?id=0000079812&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000079812&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1IYZzzqlfVwxKxUhq_taXtWTz8a-RVdb_
Discursos leídos ante la Real Academia Española en las recepciones públicas del 7 y el 21 de febrero de 1897,Español,Lectura cómoda,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000198534&name=00000001.epub&attachment=Discursos%20le%C3%ADdos%20ante%20la%20Real%20Academia%20Espa%C3%B1ola%20en%20las%20recepciones%20p%C3%BAblicas%20del%207%20y%20el%2021%20de%20febrero%20de%201897.epub,https://bdh-rd.bne.es/epub.vm?id=0000198534&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000198534&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1Ey06VB_E8h2qThJnhuHCJcV37ZoVUvAF
"Tierras, mares y cielos",Español,Lectura sustanciosa,Literatura del Siglo XX,http://bdh-rd.bne.es/high.raw?id=0000038476&name=00000001.epub&attachment=Tierras%2C%20mares%20y%20cielos.epub,https://bdh-rd.bne.es/epub.vm?id=0000038476&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000038476&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=16RwgmI7gDADOJUmhrgkUE3RMbGOR2BRG
Coplas de camina señora si q[ue]reys caminar. Con sus villancicos sobre el caso. E otras amodo delas d[e] Si quereys comprar romero. Muy aplazibles.,Español,Lectura exprés,Literatura de la Edad Media,http://bdh-rd.bne.es/high.raw?id=0000052071&name=00000001.epub&attachment=Coplas%20de%20camina%20se%C3%B1ora%20si%20q%5Bue%5Dreys%20caminar.%20Con%20sus%20villancicos%20sobre%20el%20caso.%20E%20otras%20amodo%20delas%20d%5Be%5D%20Si%20quereys%20comprar%20romero.%20Muy%20aplazibles..epub,https://bdh-rd.bne.es/epub.vm?id=0000052071&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000052071&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1PS1vNxizNPSIYJTU90mnsadGC0Ck3dYf
Los cuervos manchan la nieve : novela,Español,Lectura cómoda,Literatura del Siglo XX,http://bdh-rd.bne.es/high.raw?id=0000192752&name=00000001.epub&attachment=Los%20cuervos%20manchan%20la%20nieve%20%3A%20novela.epub,https://bdh-rd.bne.es/epub.vm?id=0000192752&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000192752&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1GQ6Ughxy2I1PZYc7phXgdJTBczKSnWWv
El otro barrio : novela madrileña,Español,Lectura cómoda,Literatura del Siglo XX,http://bdh-rd.bne.es/high.raw?id=0000192610&name=00000001.epub&attachment=El%20otro%20barrio%20%3A%20novela%20madrile%C3%B1a.epub,https://bdh-rd.bne.es/epub.vm?id=0000192610&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000192610&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1A3sPP3ey1tZx_IC23hXM1vBGFB3JGWmN
"El ex-- : farsa satírica de la vida de un pobre hombre, dividida en tres estampas original",Español,Lectura rápida,Literatura del Siglo XX,http://bdh-rd.bne.es/high.raw?id=0000201016&name=00000001.epub&attachment=El%20ex--%20%3A%20farsa%20sat%C3%ADrica%20de%20la%20vida%20de%20un%20pobre%20hombre%2C%20dividida%20en%20tres%20estampas%20original.epub,https://bdh-rd.bne.es/epub.vm?id=0000201016&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000201016&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1zSRwi_XWZJ2cz6My4DeYDE48FbOZB6ne
Los horrores del absolutismo,Español,Lectura cómoda,Historia de España,http://bdh-rd.bne.es/high.raw?id=0000189048&name=00000001.epub&attachment=Los%20horrores%20del%20absolutismo.epub,https://bdh-rd.bne.es/epub.vm?id=0000189048&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000189048&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1f4BN_oi0relWJJDjSAF5cxtdJeAattKt
Filosofía de la naturaleza,Español,Lectura sustanciosa,Filosofía y Psicología,http://bdh-rd.bne.es/high.raw?id=0000115067&name=00000001.epub&attachment=Filosof%C3%ADa%20de%20la%20naturaleza.epub,https://bdh-rd.bne.es/epub.vm?id=0000115067&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000115067&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=173Ma8hwW82OOqSBl-5aVvPoADGGEVi59
